"firstName","familyName","fullName","start","einde","title","rangorde","mandataris","persoon"
,"Schiltz","Schiltz",1981-12-22,1985-12-10,"GM Finannciën en Begroting",,"http://kanselarij.vo.data.gift/id/mandatarissen/821b625a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82188cba-dec2-11e9-aa72-0242c0a80002"
,"Martens","Martens",1995-06-20,1999-07-13,"VM Cultuur, Gezin en Welzijn,",,"http://kanselarij.vo.data.gift/id/mandatarissen/82050cc6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc1760-dec2-11e9-aa72-0242c0a80002"
,"Landuyt","Landuyt",1999-07-13,2003-06-05,"VM Werkgelegenheid en Toerisme",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fa0bc8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ece92a-dec2-11e9-aa72-0242c0a80002"
,"Van den Brande - Minister-president","Van den Brande - Minister-president",1992-10-20,1995-06-20,"VM Economie, KMO, Wetenschapsbeleid, Energie en Externe Betrekkingen",,"http://kanselarij.vo.data.gift/id/mandatarissen/820e5d26-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820e5b6e-dec2-11e9-aa72-0242c0a80002"
,"Martens","Martens",1995-06-20,1999-07-13,"VM Openbare Werken, Vervoer en Ruimtelijke Ordening",,"http://kanselarij.vo.data.gift/id/mandatarissen/82055bae-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc1760-dec2-11e9-aa72-0242c0a80002"
,"Van der Zwalmen","Van der Zwalmen",1981-12-22,1985-12-10,"Griffier Arbitragehof",,"http://kanselarij.vo.data.gift/id/mandatarissen/82191a86-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82172848-dec2-11e9-aa72-0242c0a80002"
,"Grouwels","Grouwels",1995-06-20,1999-07-13,"VM Brusselse Aangelegenheden en Gelijkekansenbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fe2e88-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fe2d3e-dec2-11e9-aa72-0242c0a80002"
,"Berckx","Berckx",1981-12-22,1985-12-10,"Beheerder-secretaris",,"http://kanselarij.vo.data.gift/id/mandatarissen/821a2e3a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821a2bba-dec2-11e9-aa72-0242c0a80002"
,"Vanderpoorten","Vanderpoorten",2003-06-10,2004-07-20,"VM Onderwijs en Vorming",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ef604c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ef5f2a-dec2-11e9-aa72-0242c0a80002"
,"Van Brempt","Van Brempt",2004-07-20,2007-06-27,"VM Mobiliteit, Sociale Economie en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e5f3ae-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81e1ecd2-dec2-11e9-aa72-0242c0a80002"
,"Bossuyt","Bossuyt",1999-07-13,2003-06-05,"VM Mobiliteit, Openbare Werken en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f1ad5c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ed71f6-dec2-11e9-aa72-0242c0a80002"
,"Galle","Galle",1981-12-22,1985-12-10,"GM Ondergeschikte besturen & Gesubsidieerde Werken",,"http://kanselarij.vo.data.gift/id/mandatarissen/821d2220-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82186b36-dec2-11e9-aa72-0242c0a80002"
,"Eyskens Mark","Eyskens Mark",1985-12-10,1988-02-03,"Minister financien",,"http://kanselarij.vo.data.gift/id/mandatarissen/82171f42-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82171c86-dec2-11e9-aa72-0242c0a80002"
,"poma","poma",1981-12-22,1985-12-10,"GM Cultuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/821a7250-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821a6f8a-dec2-11e9-aa72-0242c0a80002"
,"Eyskens","Eyskens",1981-12-22,1985-12-10,"Minister",,"http://kanselarij.vo.data.gift/id/mandatarissen/821c90e4-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821c8e32-dec2-11e9-aa72-0242c0a80002"
,"Coenen","Coenen",1981-12-22,1985-12-10,"Secretaris",,"http://kanselarij.vo.data.gift/id/mandatarissen/821a5c3e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821a5914-dec2-11e9-aa72-0242c0a80002"
,"Haverland","Haverland",1981-12-22,1985-12-10,"Directeur-generaal",,"http://kanselarij.vo.data.gift/id/mandatarissen/821db398-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821db0dc-dec2-11e9-aa72-0242c0a80002"
,"Van Den Brande","Van Den Brande",1992-02-05,1992-10-20,"Voorzitter",,"http://kanselarij.vo.data.gift/id/mandatarissen/820d253c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820d238e-dec2-11e9-aa72-0242c0a80002"
,"Schiltz","Schiltz",1981-12-22,1985-12-10,"GM van Financiën en Begroting",,"http://kanselarij.vo.data.gift/id/mandatarissen/821cd45a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82188cba-dec2-11e9-aa72-0242c0a80002"
,"Martens","Martens",1995-06-20,1999-07-13,"VM Cultuur, Gezin en Welzijn",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fc18aa-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc1760-dec2-11e9-aa72-0242c0a80002"
,"Buchmann","Buchmann",1981-12-22,1985-12-10,"GM huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/821c79b0-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8218920a-dec2-11e9-aa72-0242c0a80002"
