,Reg of man,Verkiezing,RegeerperiodeVan,RegeerperiodeTot,Referentie bevoegdheidsbesluit in Codex / URL uitslag,Referentie in K,,Naam regering,Naam,Toelichting,SamenstellingVan,SamenstellingTot,VoornaamMandaathouder,AchternaamMandaathouder,Partij,MP/Vice,rang,Titel,Redactioneel kader
455,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Patrick,Dewael,PVV,,8,Gemeenschapsminister  van Cultuur,
456,mandaat,,1985,1988,,,,Geens II.2,Geens II,,,,Jos,Dupré,CVP,,9,Gemeenschapsminister  van Huisvesting,
446,periode,12/13/1987,1988,1992,,,,Geens III en IV,Geens III,,,,,,,,,,"Op 3 februari 1988 benoemde de Vlaamse Raad de derde regering van Gaston Geens. Die regering was opnieuw samengesteld uit christen-democraten en liberalen en ze telde opnieuw negen ministers.
Bij de staatshervorming van 1988 werd opnieuw bedongen dat de Vlaamse Regering voor vier jaar proportioneel zou worden samengesteld. De regering-Geens IV telde elf ministers, waarvan vijf van de CVP, drie van de SP, twee van de PVV en één van de VU. De PVV keurde de regeringsverklaring echter niet goed. Daardoor voelden de PVV-ministers er zich ook niet door gebonden. Dat had onder meer tot gevolg dat de PVV-fractie zich als een feitelijke oppositiepartij ging gedragen, terwijl ze toch deel uitmaakte van de regering.
In de regering Geens-IV werd voor de eerste keer een volwaardige ministerportefeuille gereserveerd voor onderwijs, om de overheveling van het volledige onderwijspakket naar de gemeenschappen voor te bereiden."
435,regering,,1988,1992,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1004923&param=informatie,BVR 4/2/1988,https://kaleidos.vlaanderen.be/vergadering/589003c4-dec1-11e9-aa72-0242c0a80002/agenda/58900360-dec1-11e9-aa72-0242c0a80002/agendapunten/5890106c-dec1-11e9-aa72-0242c0a80002/beslissingen,Geens III.1,Geens III,"(Vervroegde) verkiezingen Federaal Parlement op 13 december 1987
Proportionele samenstelling",2/3/1988,10/18/1988,,,,,,,
436,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Economie,
437,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Louis,Waltniel,PVV,Vice-Voorzitter van de Vlaamse Executieve,2,Gemeenschapsminister  van Financiën en Begroting,
438,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Jan,Lenssens,CVP,,3,"Gemeenschapsminister van Welzijn, Gezin en Volksgezondheid",
439,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Theo,Kelchtermans,CVP,,4,"Gemeenschapsminister  van Tewerkstelling, Vorming en Openbaar Ambt",
440,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Patrick,Dewael,PVV,,5,Gemeenschapsminister  van Cultuur,
441,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Rika,Steyaert,CVP,,6,Gemeenschapsminister  van Gezin en Welzijnszorg,
442,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Jos,Dupré,CVP,,7,"Gemeenschapsminister van Leefmilieu, Landinrichting en KMO-beleid",
443,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Hugo,Weckx,CVP,,8,Gemeenschapsminister  van Onderwijs en Brusselse Aangelegenheden,
444,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Edward,Beysen,PVV,,9,Gemeenschapsminister  van Binnenlandse Aangelegenheden en Ruimtelijke Ordening,
445,mandaat,,1988,1992,,,,Geens III.1,Geens III,,,,Paul,Breyne,CVP,,10,Gemeenschapsminister  van Huisvesting,
423,regering,,1988,1992,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1004451&param=informatie ,BVR 24/10/1988,https://kaleidos.vlaanderen.be/vergadering/58963492-dec1-11e9-aa72-0242c0a80002/agenda/58963424-dec1-11e9-aa72-0242c0a80002/agendapunten/58963f6e-dec1-11e9-aa72-0242c0a80002/beslissingen,Geens IV.1,Geens IV,Hersamenstelling,10/19/1988,2/21/1989,,,,,,,"Regering gevormd na de staatshervorming van 1988, voor 4 jaar in een proportionele samenstelling. Deze regeerperiode eindigde op 7 januari 1992."
424,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Financiën en Begroting,
425,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Norbert,De,SP,Vice-Voorzitter van de Vlaamse Executieve,2,"Gemeenschapsminister  van Economie, Middenklasse en Energie",
426,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Louis,Waltniel,PVV,,3,Gemeenschapsminister  van Ruimtelijke Ordening en Huisvesting,
427,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Jan,Lenssens,CVP,,4,Gemeenschapsminister  van Welzijn en Gezin,
428,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Roger,De,SP,,5,Gemeenschapsminister  van Tewerkstelling,
429,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Theo,Kelchtermans,CVP,,6,"Gemeenschapsminister  van Leefmilieu, Natuurbehoud en Landinrichting",
430,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Patrick,Dewael,PVV,,7,Gemeenschapsminister  van Cultuur,
431,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Hugo,Weckx,CVP,,8,Gemeenschapsminister  van Volksgezondheid en Brusselse Aangelegenheden,
432,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Daniël,Coens,CVP,,9,Gemeenschapsminister  van Onderwijs,
433,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Luc,Van,SP,,10,Gemeenschapsminister  van Binnenlandse Aangelegenheden en Openbaar Ambt,
434,mandaat,,1988,1992,,,,Geens IV.1,Geens IV,,,,Johan,Sauwens,VU,,11,Gemeenschapsminister van Openbare Werken en Verkeer,
411,regering,,1988,1992,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1002252&param=informatie ,BVR 22/2/1989,https://kaleidos.vlaanderen.be/vergadering/5899c058-dec1-11e9-aa72-0242c0a80002/agenda/5899bfea-dec1-11e9-aa72-0242c0a80002/agendapunten/5899ca3a-dec1-11e9-aa72-0242c0a80002/beslissingen,Geens IV.2,Geens IV,Technische wijziging,2/22/1989,1/7/1992,,,,,,,
412,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Gaston,Geens,CVP,Voorzitter van de Vlaamse Executieve,1,Gemeenschapsminister  van Financiën en Begroting,
413,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Norbert,De,SP,Vice-Voorzitter van de Vlaamse Executieve,2,"Gemeenschapsminister  van Economie, Middenklasse en Energie",
414,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Louis,Waltniel,PVV,,3,Gemeenschapsminister  van Ruimtelijke Ordening en Huisvesting,
415,mandaat,,1988,1992,,,,Geens IV.2,Geens IV,,,,Jan,Lenssens,CVP,,4,Gemeenschapsminister  van Welzijn en Gezin,
